date,real,fit,predict
2023/5/8 0:00,0,,
2023/5/8 1:00,0,5.8654,
2023/5/8 2:00,0,4.3578,
2023/5/8 3:00,0,2.8654,
2023/5/8 4:00,0,4.4256,
2023/5/8 5:00,6,3.2764,
2023/5/8 6:00,7,2.2548,
2023/5/8 7:00,6,2.8635,
2023/5/8 8:00,3,1.8654,
2023/5/8 9:00,7,4.7653,
2023/5/8 10:00,14,8.7553,
2023/5/8 11:00,43,13.7543,
2023/5/8 12:00,44,27.6442,
2023/5/8 13:00,48,41.2467,
2023/5/8 14:00,59,45.3563,
2023/5/8 15:00,54,59.4563,
2023/5/8 16:00,53,55.3467,
2023/5/8 17:00,34,28.7553,
2023/5/8 18:00,43,13.7543,
2023/5/8 19:00,44,27.6442,
2023/5/8 20:00,6,3.2764,
2023/5/8 21:00,7,2.2548,
2023/5/8 22:00,6,2.8635,
2023/5/8 23:00,7,2.2548,
2023/5/9 0:00,6,2.8635,
2023/5/9 1:00,3,1.8654,
2023/5/9 2:00,7,4.7653,
2023/5/9 3:00,1,8.7553,
2023/5/9 4:00,3,9.7543,
2023/5/9 5:00,4,7.6442,
2023/5/9 6:00,7,6.2467,
2023/5/9 7:00,9,5.3563,
2023/5/9 8:00,11,8.4563,
2023/5/9 9:00,13,9.3467,
2023/5/9 10:00,,,10.7543
2023/5/9 11:00,,,13.6432
2023/5/9 12:00,,,14.6632
2023/5/9 13:00,,,16.7437
